Indicator,Unit,Value
Total Annual Solar Production,MWh/year,22.011430042526644
Solar Curtailment Share,%,37.27453327395272
Battery Discharge,MWh/year,56.27590456186883
Battery Charge,MWh/year,56.27590456186884
Average Yearly Battery Reserve,MWh,13.19267645179907
Generator Production,MWh/year,9.204467693404473
Fuel Consumption,liters/year,920.4467693404472
Average Yearly Generator Reserve,MWh,49.47994998433678
Grid Import,MWh/year,69.1183891072772
Avg Grid Availability,%,95.83333333333341
Renewable Penetration,%,70.51352560394362
Average Yearly Expected Shortfall,MWh,16.18556119151309
