Battery Charge (kWh),Battery Discharge (kWh),Generator Production (kWh),Grid Import (kWh),Load Demand (kWh),Solar Curtailment (kWh),Solar Production (kWh),State of Charge (kWh),Time Step
0.0,0.0,0.0,7.22,7.22,0.0,0.0,0.0,1
0.0,0.0,0.0,9.737,9.737,0.0,0.0,0.0,2
0.0,0.0,0.0,10.945,10.945,0.0,0.0,0.0,3
0.0,0.0,0.0,11.492,11.492,0.0,0.0,0.0,4
0.0,0.0,0.0,11.338,11.338,0.0,0.0,0.0,5
0.0,0.0,0.0,10.044,10.044,0.0,0.0,0.0,6
0.0,0.0,0.0,11.502245170876671,11.98,5.551115123125783e-17,0.47775482912332834,0.0,7
0.0,0.0,0.0,9.133704309063894,13.654,8.881784197001252e-16,4.5202956909361065,0.0,8
0.0,0.0,0.0,15.089151560178305,24.828,0.0,9.738848439821695,0.0,9
0.0,0.0,0.0,11.284852897473996,25.838,0.0,14.553147102526005,0.0,10
0.0,0.0,0.0,7.714817236255573,25.796,3.552713678800501e-15,18.081182763744426,0.0,11
0.0,0.0,0.0,7.627049034175332,27.509,0.0,19.881950965824668,0.0,12
0.0,0.0,0.0,5.689546805349185,25.792,3.552713678800501e-15,20.102453194650817,0.0,13
0.0,0.0,0.0,9.52855720653789,28.602,0.0,19.07344279346211,0.0,14
0.0,0.0,10.241332838038634,0.0,26.779,3.552713678800501e-15,16.537667161961366,0.0,15
0.0,0.0,0.0,12.236372956909362,24.805,1.7763568394002505e-15,12.568627043090638,0.0,16
0.0,0.0,0.0,18.011423476968798,25.582,0.0,7.570576523031203,0.0,17
0.0,0.0,0.0,24.658475482912333,27.084,0.0,2.425524517087667,0.0,18
0.0,0.0,27.473,0.0400000000000027,27.513,0.0,0.0,0.0,19
0.0,0.0,0.0,29.257,29.257,0.0,0.0,0.0,20
0.0,0.0,0.0,27.987,27.987,0.0,0.0,0.0,21
0.0,0.0,0.0,25.806,25.806,0.0,0.0,0.0,22
0.0,0.0,0.0,18.797,18.797,0.0,0.0,0.0,23
0.0,0.0,0.0,8.711,8.711,0.0,0.0,0.0,24
